gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj,contrast,direction
CYP1A2,16.262533726867858,-2.196915134807933,0.7145232280226174,2.190247453682998e-6,1.5961779319909348e-5,LSvsNL,down
ODF3L1,42.99178101183521,-1.4803366504571474,0.29744893334980965,2.4485037608379792e-9,3.5180318649006984e-8,LSvsNL,down
CRABP1,182.50012842288098,-1.5742397984682246,0.19938283206862212,6.802955731003614e-19,5.475476316236979e-17,LSvsNL,down
CHRNA5,16.986342841108804,1.3647355736949167,0.2481684870332775,1.974313843727748e-9,2.9079165034338247e-8,LSvsNL,up
CHRNA3,36.47551689225844,2.081446961430573,0.3338507334453033,3.604773766097163e-13,1.1132569576452867e-11,LSvsNL,up
ADAMTS7,30.3621065113522,2.1702991243081473,0.373475053471241,6.426605410315219e-13,1.873396673295414e-11,LSvsNL,up
BCL2A1,85.61690054426097,1.5509393930099578,0.29377984424332454,4.968402810792471e-10,8.223407382012289e-9,LSvsNL,up
ADAMTSL3,149.367239481618,-1.1011970734268242,0.19385118875560656,1.5312400054350462e-10,2.86261620748854e-9,LSvsNL,down
AEN,425.24515520340293,1.061534667675521,0.17997217314374148,3.433133508500925e-10,5.897323740698329e-9,LSvsNL,up
CARMAL,1.8889538885688395,1.2475684002128835,1.1445779909747398,0.009079977697559484,0.024296086248691822,LSvsNL,up
MIR9-3HG,6.114595789480316,1.863177118288186,0.4795023359421701,9.155307521328566e-7,7.231222050063683e-6,LSvsNL,up
RHCG,740.135352887757,2.704994040573747,0.5246576877778748,3.8476714119786084e-13,1.1762881173763174e-11,LSvsNL,up
TICRR,46.03736782706925,1.3377848229713383,0.2778924163899625,1.6526361420741777e-8,1.971134608513524e-7,LSvsNL,up
MESP2,11.809419875217609,1.833277313102591,0.3193706668069356,1.5531806901537916e-11,3.4580608021906325e-10,LSvsNL,up
BLM,53.51479711702678,1.1568342506897649,0.24630412318402362,1.1344698111684898e-7,1.131359970677348e-6,LSvsNL,up
ST8SIA2,5.366655028715046,2.9625219914906413,1.2039551254260952,4.9617611629025126e-5,2.60099237905466e-4,LSvsNL,up
LINC00930,6.638247623100731,-2.0716271497374326,0.6023620660588274,6.853322497282122e-7,5.59775196342891e-6,LSvsNL,down
LINC02244,10.659721343310897,-1.1826259180198244,0.31860713783913913,4.269828029123143e-6,2.917662353484221e-5,LSvsNL,down
HBQ1,5.9275322342407755,-1.29678303698268,0.5292619956326913,2.6986768888878697e-4,0.0011635205643249669,LSvsNL,down
RHBDL1,68.42184334257516,-1.0709308870610603,0.2220223310724397,2.2667106129655728e-8,2.621199367440799e-7,LSvsNL,down
CACNA1H,140.4285151361046,-4.23698247905271,0.5190410331964731,5.253686990509846e-27,1.2574285047022907e-24,LSvsNL,down
TPSG1,17.115295537121252,-2.7099741551574774,0.42698821379793295,5.1081137807083855e-15,2.1811406026076416e-13,LSvsNL,down
MEIOB,21.3445059491949,-1.2189696600925675,0.23097734839545936,2.315495874997383e-9,3.350745422927796e-8,LSvsNL,down
HS3ST6,390.4714488854557,-1.6895111546583472,0.21301062041673874,7.615566495604024e-20,6.99632093712309e-18,LSvsNL,down
TEDC2,111.29069756625962,1.0442121586880388,0.21286219633240627,6.453715376363602e-8,6.785727323471325e-7,LSvsNL,up
PRSS27,897.7817983775204,3.206030442335689,0.2581705208004685,3.6024203759609003e-44,3.640445924373821e-41,LSvsNL,up
PRSS22,157.86477037936507,2.5340273106242055,0.3693144980139725,1.0386172224912368e-17,7.210857739357098e-16,LSvsNL,up
PKMYT1,301.5271684250237,1.4728660977515773,0.20689410918913678,1.16737090947851e-14,4.631013896601979e-13,LSvsNL,up
TNFRSF12A,1698.0234197463985,1.1892472804626086,0.22357157486276738,6.400910569017791e-10,1.0423685161184745e-8,LSvsNL,up
IL32,797.8245142774044,1.2339387720782706,0.2114710714967242,2.3169363547333608e-11,5.041276590023903e-10,LSvsNL,up
CARHSP1,696.6084654110699,1.1013969720977979,0.11725386062843282,3.230264765467939e-23,4.663374292369985e-21,LSvsNL,up
MYH11,1852.4313137097697,-1.0586783453718491,0.2662362046417195,6.879797421148596e-7,5.6162326165667085e-6,LSvsNL,down
SYT17,94.53710138603721,-1.5593272092822188,0.2373863288281409,3.876203187062225e-14,1.4073480234064248e-12,LSvsNL,down
CRYM,171.99678638042494,-1.3238280618978575,0.20877944769406154,4.476711521725961e-13,1.3371158002353648e-11,LSvsNL,down
PLK1,567.5770733922243,1.3311227008875481,0.12344733092808205,9.913627861642878e-29,2.8623633460838724e-26,LSvsNL,up
CHP2,4066.666725301487,-1.2495031270215349,0.15430678868120193,8.981326261657538e-19,7.103057595632635e-17,LSvsNL,down
PRKCB,349.0753133215634,-1.5469440016348015,0.1681943228088958,2.1164139358660134e-23,3.079805559472223e-21,LSvsNL,down
LINC02175,63.889274869610674,-1.1184253896923326,0.21341851302900366,3.893069094466295e-9,5.312447624031651e-8,LSvsNL,down
HS3ST4,4.615483158044068,2.3306845401699254,1.2689736386353085,1.2566865172206618e-4,5.95444848873244e-4,LSvsNL,up
LINC02195,5.587916996135294,2.0072089738223577,0.5399607377937602,2.0458955380955435e-6,1.4987853337880762e-5,LSvsNL,up
IL4R,486.6889106120689,1.1402684928018358,0.16023735699281144,7.881181798041802e-15,3.265573961420965e-13,LSvsNL,up
NPIPB6,29.43911837511729,-2.4552009996504776,0.25683421886073626,1.5789113437506352e-26,3.419094921764768e-24,LSvsNL,down
NPIPB8,3.9582997193966025,-1.235808497593729,0.371371133191553,2.1029055873684932e-5,1.2082076005758969e-4,LSvsNL,down
ASPHD1,6.166307989176106,1.2648878787261353,0.375538470845023,1.583907515572819e-5,9.421608145281091e-5,LSvsNL,up
GDPD3,1248.1766497543986,1.4428528889501253,0.18320650527188645,2.656865402670344e-17,1.7137723998075732e-15,LSvsNL,up
ITGAL,57.695705367219404,1.0601199299627846,0.3361405697257508,2.5660525439972377e-5,1.4433053733862013e-4,LSvsNL,up
PRSS53,24.743117260900366,2.305516043021777,0.32349708221445406,1.810550418530509e-16,1.0259785705006216e-14,LSvsNL,up
TRIM72,31.608885342056332,1.5526485542924884,0.2533498672835711,1.8059750025628573e-12,4.866768192091611e-11,LSvsNL,up
ITGAM,151.42253258665372,1.1487864414949696,0.21971503052995361,2.1762829234271355e-9,3.166178525987423e-8,LSvsNL,up
ITGAX,149.20030829571908,1.5236908095314798,0.25022594768981987,1.7838485213091186e-12,4.814273679912888e-11,LSvsNL,up
SHCBP1,223.50702766542227,1.1396812172523736,0.1729657309611704,2.011264312111127e-12,5.3960026308704137e-11,LSvsNL,up
NETO2,69.83647533248357,1.9606614297482488,0.28204046785900466,3.656891938960582e-15,1.6106262559247695e-13,LSvsNL,up
PLLP,2545.837502859091,-1.1828465744166643,0.14460811558858258,5.540515159638239e-19,4.519370885821505e-17,LSvsNL,down
ADGRG5,15.043185272138752,1.2503780513647011,0.2880325924383394,4.4900497548946223e-7,3.8254803298142e-6,LSvsNL,up
CNGB1,20.07922298296773,4.8262774554143775,0.4885138147112858,5.779802774754435e-32,2.1456043361792483e-29,LSvsNL,up
USB1,390.2885924655796,1.4526104655203569,0.22196672408844365,2.0790906505219743e-13,6.646512993496435e-12,LSvsNL,up
NDRG4,672.4612094084093,1.1030959042505635,0.16963373558359648,1.7189190216421723e-12,4.6528477684034396e-11,LSvsNL,up
CDH16,4.236538861729558,3.7506095953014493,0.9229009750695265,2.645225495320607e-8,3.022402748736297e-7,LSvsNL,up
CDH3,3324.437982386535,1.2752689365904006,0.154890594940532,2.1240732505344202e-18,1.5657787867178297e-16,LSvsNL,up
HAS3,393.80404645094416,1.8414881291933107,0.22379098914881596,8.463995544548471e-20,7.659705420663517e-18,LSvsNL,up
IL34,1101.8807074604754,-1.5429601216935986,0.13882456305395183,7.070126689751366e-33,2.9228546474222127e-30,LSvsNL,down
CPHXL,2.821318109170867,-1.1594915202191092,0.443448954054982,4.4462795924823207e-4,0.0017952902505494655,LSvsNL,down
LINC01229,96.38533875314509,-1.1637248060949588,0.21369786611261798,3.433351204727614e-10,5.897323740698329e-9,LSvsNL,down
MAFTRR,186.977627369564,-1.1586151050447526,0.16941652767685095,6.017302420231167e-14,2.0888307447329183e-12,LSvsNL,down
CDYL2,23.472753364550655,1.441934984796725,0.31102871685026673,2.8782353206688688e-8,3.264033695945556e-7,LSvsNL,up
CENPN,266.21462919435663,1.0309405177272266,0.1725426135071583,2.1421480234985655e-10,3.8694808885242215e-9,LSvsNL,up
GAN,16989.968392861207,-1.5383793625606113,0.1428433450200967,1.0501533972080857e-30,3.604205716078317e-28,LSvsNL,down
COTL1,862.2861118087073,1.0982253468018095,0.17469190728318834,9.815095438547305e-12,2.2772523727956056e-10,LSvsNL,up
IRF8,340.9108190565618,1.1510711836070318,0.2530969842625692,7.555819027774099e-8,7.853734178012049e-7,LSvsNL,up
FOXF1,3.7181184964117224,1.3436059162893879,0.7033614289668741,4.892864643809387e-4,0.001950925205411941,LSvsNL,up
SLC7A5,1203.5523403616244,1.4252962236827782,0.20122617262177128,2.3984685391227795e-14,9.127226511850076e-13,LSvsNL,up
IL17C,11.907868373206314,1.8837207289322229,1.9531867570385755,8.970119164679318e-6,5.6380949414484034e-5,LSvsNL,up
DOC2B,54.956921076863424,1.053487249553573,0.2550230018928746,7.794196443292502e-7,6.267746830393042e-6,LSvsNL,up
RTN4RL1,31.32760801726618,-1.0300676902858608,0.27378960678884506,5.129618317530452e-6,3.42413787874785e-5,LSvsNL,down
HASPIN,27.858041838269852,1.2428598903246768,0.2958703586503177,3.4668255414563083e-7,3.0298605164667777e-6,LSvsNL,up
ALOX15,163.68963731904952,1.4514721209076094,0.31522399377870514,3.774969720385378e-8,4.192106179109281e-7,LSvsNL,up
VMO1,57.68290553735085,1.0131503454138877,0.21627230549769885,1.3540503708582041e-7,1.321361386583194e-6,LSvsNL,up
