"","gene_name","tissue type (LS/NL/HC)","individual","SCORAD","EASI","quarter","anatomic region","gender","unexplained"
"62","GLIS1",0.426451684567454,0.0623769753531965,0.0129332041682551,6.80859252275348e-05,0,0,0,0.498170049985867
"63","PCSK9",0.100161591298445,0.0537607595617437,0.00289740730444337,0.00146588528017071,0.0619049788399049,0.0704517343724469,0.0425239241090012,0.666833719233845
"64","CYP2J2",0.499101883971726,0.0789752062532386,0.0496447137076457,0.000735138364524384,0,0.023521907248957,4.16393681863015e-09,0.348021146289971
"65","LINC01359",0.335580681623354,0.0913878180294801,0.00811586402111792,0.00300654464662164,0,0,0.0102309463530088,0.551678145326417
"66","MIR3671",0.406069841179368,0.0360239735351036,0.0633399318107722,0.00825803066767671,1.25171025636585e-10,4.73343768233319e-10,0.0109499668548563,0.475358255353708
"67","MIR101-1",0.33102578938015,0,0.0258213445255095,0.0126171148062143,0,0,0.0229560710075508,0.607579680280575
"68","SGIP1",0.028379663517157,0.339805132101665,0.00130742432751564,3.78334485269146e-05,0,6.67296604568356e-11,0,0.630469946538406
"69","IL12RB2",0.0876290937070567,0.190240766456039,0.00194728943089718,0.0235051031030629,0,0.110334794910138,0,0.586342952392806
"70","DEPDC1",1.22917569019211e-08,1.66558538983256e-10,0.0522023925260325,0.0133647792332491,0.0197120790120328,0.255157801861667,0,0.659562934908703
"71","FPGT-TNNI3K",0.327455367699044,0.103540335801129,0.0223407373522187,0.0074324728650172,0.00660736831987507,0,0,0.532623717962716
"72","ST6GALNAC3",0.0078234533432858,0.0213504761898115,0.00336539946332939,0.00540143780179663,0.0365908746896015,0,0,0.925468358512175
"73","IFI44",0.249088331817969,0.116070184768098,0.00360473321777796,0.000973796020306578,2.91224619998135e-10,0.00170246905048221,0.145994086982617,0.482566397851524
"74","LINC01725",0.543059005481055,0.0502350192442415,0.0290385709655687,0.00140284892377058,7.40221954476375e-10,0,0,0.376264554645143
"75","CLCA2",0.0097362487244603,0.26781610687224,6.62776552907962e-07,0.00920963424446888,0,0.0618060269139424,0,0.651431320468335
"76","GBP5",0.183803214179667,0.0539085202114619,0.0162111414168723,0.00717014264214861,0,0.0958767330589292,0.0282598146774943,0.614770433813427
"77","GBP6",0.0454755170931306,0.137824656382497,0.0118584859440254,0.025164394933185,0.0666234393601644,0.00748502624766107,0,0.705568480039337
"78","BCAR3",0.602657961505324,0.125466703403043,0.0241382404508029,0.00529948122242145,6.02259628579578e-09,2.00182450374562e-09,0,0.242437605393987
"79","F3",0.565833463204399,0.0788671246165472,0.0397138596081831,0.0104236790275564,0,0,3.89004347832788e-10,0.30516187315431
"80","TLCD4",0.147133017122548,0.029942260938144,0.0156240771814701,5.53665114307639e-05,0.0376035238343466,0.00409268454213395,0,0.765549069869926
"81","RNPC3",0.470090272087211,0.0287746684975419,0.0417418418124567,2.90580075889611e-05,0,0,0.00405294831984928,0.455311211275352
"82","AMY2B",0.433269477688838,0.0462627001817083,0.0555620388574832,0.000140442577956677,0.00253150409427577,0,0.0384875181503093,0.423746318449428
"83","LINC02785",0,0.077679840228149,0.00385354684973534,0.00117449127869295,0,1.40172175197393e-10,0.0336564397219045,0.883635681781346
"84","SYPL2",0.0117721449140507,0.0772261080655095,0.00185566186817828,0.0186795433184274,0.0281574725556824,5.68654088452607e-10,2.75284106418872e-06,0.862306315868433
"85","GSTM2",0.542116064516053,0.0688793885090448,0.0440600045128313,0.00564115956129028,0,2.83537169281953e-09,0,0.339303380065409
"86","GSTM5",0.212823220776824,0.0223865509105424,0.0188099852020324,0.00119338305672742,0.047250106098379,0.0693295746807529,0.0349328124165682,0.593274366858174
"87","GSTM3",0.381621795039129,0.244634791059185,0.0443913670240306,3.44856387262668e-06,9.48616771150740e-11,1.62554507842174e-07,2.27258194139825e-09,0.329348433391832
"88","CD53",0.300878012261112,0.10815320427111,0.000146324118434285,0.0151689392713061,0,0.0816904801209723,0.0103503205981492,0.483612719358916
"89","CHI3L2",0.264846840254444,0.172145812323423,0.0133653206932446,0.0058960462017646,0,0.0924956888089925,1.13400312687735e-10,0.45125029160473
"90","PIFO",0.53621009546316,0.075262751315916,0.0141395544505464,0.00205967864827794,0.00618578799453078,4.73380123077431e-09,2.47426357049256e-06,0.366139653130198
"91","C1orf162",0.192079512594318,0.152712540060111,0.00974969840164459,0.000113186443653641,1.04544752109236e-09,0.168009076579863,0,0.477335984874962
"92","TMIGD3",0.0966236137468247,0.197563498762945,0.00221324829673148,0.000736465495652059,0,0.0443676856843507,2.68734251636738e-10,0.658495487744762
"93","ADORA3",0.0559926555437317,0.0764029969805687,0.00984010379234184,0.00460451853762203,0.0338505041346993,0.108436765785324,0,0.710872455225713
"94","WNT2B",0.51286596264202,0.0197069461024836,0.010969366507111,0.00299135903756015,1.06065743641581e-10,0,0.00662392961238475,0.446842435992375
"95","TAFA3",0.134506338047193,0.112292178215328,0.002033863476204,0.0026740164302349,0,0.0852594031542295,0,0.66323420067681
"96","SYT6",0.0020195252465944,0.228210775766011,0.0216111256842391,0.0189698069503707,0,0,1.46505016870277e-09,0.729188764887735
"97","NGF",0.112600026198087,0.0511213198954074,0.00465779356854108,0.00237186116556618,0.00468313047031044,0,1.48666753391376e-09,0.82456586721542
"98","NHLH2",0.426227569284702,0.137779143062886,0.0170911457341373,0.00231277897766366,0.00346772264481146,0.0449532537764215,3.91548071208896e-10,0.368168386127831
"99","LINC01762",0.529081927141735,0.0187226239583679,0.0309193406113085,0.0131233422990279,0,4.09496857148646e-11,7.84003763072996e-11,0.408152765870211
"100","CD2",0.328504609782289,0.0592951909269945,0.000304953782638887,0.00050139720274805,0,0.15303859723397,0,0.45835525107136
"101","TBX15",0.133313172595658,0.0604843493786349,0.0796939229777505,0.00827138086048081,0.0528171843345508,0.00934063264032767,1.96823188112353e-10,0.656079357015774
"102","HSD3B1",0.0298259382961035,0.0303476295501772,0.0149374958588295,0.012195858171472,0,0,2.58456895459154e-10,0.912693077864961
"103","HSD3BP4",0.0299110632998157,0.159938584996746,0.0199213144351039,0.0174369686623262,2.5535471544145e-08,0.174342640526423,0,0.598449402544114
"104","HMGCS2",0.160553318379118,0.171353345225671,0.0492122894681093,0.00135017598993256,3.67078546671631e-09,0.0705046421579901,0,0.547026225108394
"105","PDZK1",0.156546331411261,0,0.00702010407862797,0.00015031480341588,4.21072509610582e-09,0,0,0.83628324549597
"106","RPL7AP15",0.375202485796188,0,0.00681862595904797,0.00153327062109069,0,1.84732793654067e-09,0,0.616445615776345
"107","GJA5",0.0976395666215267,0.0267950389363304,0.00257266519629452,7.96214630043692e-06,0.0283526392108359,1.53729268746602e-10,0,0.844632127734983
"108","H2AC18",0.0135113269158376,0.233759080833888,0.0351250879526,0.00148716139125395,0,0,0,0.71611734290642
"109","H2AC19",0.00422104033642419,0.106822815032197,3.53198461423488e-05,0.00107204793989808,0,1.25381654559851e-10,1.91718038271436e-10,0.887848776528239
"110","U4",0.452858249799424,0.0232248484337639,0.0470807411256361,0.00645723280293118,1.34206433008232e-10,9.79881560462954e-11,0,0.470378927606051
"111","RORC",0.45292719300082,0.129039028183729,0.0280280967534729,8.26567290033145e-05,5.70803279070849e-10,1.22739416803914e-09,5.98139689372596e-07,0.389922425395089
"112","S100A11",0.0112854065660292,0.00885701855645063,0.00935903227756379,0.00145002384337364,0.00853233190560466,0,0,0.960516186850978
"113","HRNR",0.0447249134952322,0.280863919883917,0.0352008389088896,0.0119116477306638,0.0235621988860686,0.174466962507258,0,0.42926951858797
"114","FLG2",0.336322066416645,9.30874630075863e-10,0.0174703164579501,0.00257256407384276,0.00343109265838437,0,0.0341604613369132,0.60604349812539
"115","LCE5A",0.565226994557704,0.0611200952069178,0.0345693762195285,0.00441449694719581,0.00869130455301485,0,0,0.325977732515639
"116","LCE3E",0.567991626373646,0.203811003718018,0.0559199891173982,0.000994309939703411,0.00689846352740182,0.0148609289656589,2.58396485603652e-10,0.149523678099777
"117","LCE3D",0.550085540515995,0.244547019944341,0.049039958420273,0.000459525471791746,2.77422771242908e-11,0.0377451561728245,0,0.118122799447033
"118","LCE3C",0.0917707576591319,0.608846078670219,0.00460430997486896,0.000429188227889998,0.000348372456527798,0.0863059385798259,0,0.207695354431536
"119","LCE3A",0.569044286178366,0.215191191306547,0.035653894147023,2.12189733236656e-05,0,0.0907701041049588,7.77069062069554e-10,0.0893193045127122
"120","IVL",0.150136100688083,0.234780458237952,0.0448727113294288,0.000191949118452927,0.02528067479821,0.0898369747635448,3.48167462948963e-10,0.454901130716161
"121","SPRR1A",0.586884050422723,0.0331444629994258,0.0107161492210669,0.000266921423126932,0,0,8.51599668211622e-10,0.368988415082058
"122","SPRR1B",0.620116676620837,0.0709820832195884,0.0194425870775082,0.00104796427205315,0,0,2.68070710166225e-09,0.288410686129306
"123","SPRR2D",0.381939157810318,0.165150056701412,0.00530622458838654,0.00308121999892861,1.58709217122992e-10,0,2.60272000211835e-10,0.444523340481973
"124","SPRR2A",0.501837673729432,0.151358688933983,0.0298150546933978,0.00667864656952003,0,0.0816456703636459,0,0.228664265710021
"125","SPRR2B",0.474600842661537,0.181384868608268,0.00995168671800086,9.62861051106115e-05,0,1.38992649542471e-08,6.79849578656757e-11,0.333966301939834
"126","SPRR2E",0.185112069895595,0.351548805016654,0.00527112629213938,0.00628234147601453,0,0,9.09673004591698e-11,0.45178565722863
"127","SPRR2F",0.365470883259632,0.184599185903259,0.00487773072913071,0.00116087398561618,0.00659699571561087,0.121270691358621,9.37723284832115e-09,0.316023629670898
"128","SPRR2G",0.208392715191421,0.400877087878779,0.0127869954311765,0.0016008212691561,1.65973141198363e-09,1.18777054106047e-10,2.8738030128583e-09,0.376342375577156
"129","PRR9",0.10719777507411,0.166961626278553,0.0110780950087362,0.00186220923704331,1.34303397860744e-08,3.87687828101161e-08,1.489254504529e-08,0.712900227309889
"130","LORICRIN",0.303515750841919,0,0.00444001412439819,0.00597895207351462,8.88776079828056e-11,6.71378864177443e-10,0.0600190180139574,0.626046264185954
"131","S100A9",0.616395110510574,0.0880205065126493,0.0400190133153997,0.00636964492280993,0,0.0646494563426714,1.72199815710538e-10,0.184546268223696
"132","S100A12",0.446709673565144,0.111812654294648,0.0326193607587993,0.00824464207912889,0.00797176979366841,0.0395365654667558,0,0.353105334041855
"133","S100A8",0.649216424983446,0.0622721469549057,0.0250355642986251,0.00633135392329374,0,0.0615001758465739,0,0.195644333993156
"134","S100A7A",0.411351570192835,0.15759308765943,0.0187904290184948,0.00157052241392494,2.67580789343824e-11,0.152994608977771,0,0.257699781710787
"135","S100A7",0.473221424862676,0.192599058534982,0.0331169024438152,0.00412495237753894,0,0.0728416958133651,1.56906714163945e-09,0.224095964398556
"136","S100A4",0.018786979660554,0.320078557866208,0.00448332596092124,0.00146847992717625,0.031760330976458,0,1.70010340915394e-09,0.623422323908579
"137","S100A3",0,0.100384863479642,0.0194038265362215,0.0197077003176471,0.0137976066395887,0,9.67449126087126e-10,0.846706002059451
"138","S100A2",0.397142670351074,0.0594937600042396,0.0331185048198877,0.0115004207053388,0,0,6.44580139958248e-08,0.498744579661446
"139","GBAP1",0.190544352228189,0.151846013682971,0.00483158974415256,0.00189308094703934,0.0826883492855636,0.0705784108720416,0.0067522014216309,0.490866001818413
"140","CRABP2",0.0483366216742213,0.367010512440265,0.0117393012090925,0.00748907303037708,0,0.0370774084872108,1.14941685615949e-10,0.528347083043892
"141","SH2D2A",0.428201249658517,1.45142656363853e-07,0.0309738480562358,0.00331924538292373,0.000678747895456512,1.88241713420498e-10,0.0588831006118585,0.47794366306411
"142","CD1D",0.153627424872366,0,0.00265519118180948,0.000151461884491781,0.0393377051050525,0,0,0.80422821695628
"143","CD1B",0.21337836063078,0.242215957151732,0.00293348051297229,0.00473288771210568,0,0,9.69506626465463e-10,0.536739313022903
"144","PYHIN1",0.242530497285109,0.0881600348368689,0.00470612626682482,0.00271539912260657,0,0.0881004482287434,2.67609866473053e-10,0.573787493992237
